method,candidate_count,trials,asked_trials,asked_rate_pct,avg_candidate_count_asked,median_candidate_count_asked,actual_total_questions_asked_trials,actual_mean_q_asked_trials,ideal_half_total_q_asked_trials,ideal_half_mean_q_asked_trials,split04_total_q_asked_trials,split04_mean_q_asked_trials,mixed_expected_total_q_asked_trials,mixed_expected_mean_q_asked_trials,actual_minus_split04_total,actual_over_split04,actual_minus_mixed_expected_total,actual_over_mixed_expected
first_question,0,1,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
first_question,1,115,2,1.7391,1.0,1.0,2,1.0,0,0.0,0,0.0,0.0,0.0,2,,2.0,
first_question,2,24,24,100.0,2.0,2.0,24,1.0,24,1.0,24,1.0,24.0,1.0,0,1.0,0.0,1.0
first_question,3,15,15,100.0,3.0,3.0,28,1.8667,30,2.0,30,2.0,25.0,1.6667,-2,0.9333,3.0,1.12
first_question,4,22,22,100.0,4.0,4.0,50,2.2727,44,2.0,44,2.0,48.4,2.2,6,1.1364,1.6,1.0331
first_question,5,3,3,100.0,5.0,5.0,8,2.6667,9,3.0,9,3.0,8.064,2.688,-1,0.8889,-0.064,0.9921
first_question,6,21,21,100.0,6.0,6.0,73,3.4762,63,3.0,63,3.0,66.192,3.152,10,1.1587,6.808,1.1029
first_question,7,10,10,100.0,7.0,7.0,41,4.1,30,3.0,30,3.0,35.5566,3.5557,11,1.3667,5.4434,1.1531
first_question,8,4,4,100.0,8.0,8.0,13,3.25,12,3.0,16,4.0,15.7998,3.95,-3,0.8125,-2.7998,0.8228
first_question,15,1,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
proposed_efe,1,117,6,5.1282,1.0,1.0,6,1.0,0,0.0,0,0.0,0.0,0.0,6,,6.0,
proposed_efe,2,26,25,96.1538,2.0,2.0,25,1.0,25,1.0,25,1.0,25.0,1.0,0,1.0,0.0,1.0
proposed_efe,3,12,12,100.0,3.0,3.0,21,1.75,24,2.0,24,2.0,20.0,1.6667,-3,0.875,1.0,1.05
proposed_efe,4,21,21,100.0,4.0,4.0,41,1.9524,42,2.0,42,2.0,46.2,2.2,-1,0.9762,-5.2,0.8874
proposed_efe,5,5,5,100.0,5.0,5.0,11,2.2,15,3.0,15,3.0,13.44,2.688,-4,0.7333,-2.44,0.8185
proposed_efe,6,23,23,100.0,6.0,6.0,63,2.7391,69,3.0,69,3.0,72.496,3.152,-6,0.913,-9.496,0.869
proposed_efe,7,8,8,100.0,7.0,7.0,20,2.5,24,3.0,24,3.0,28.4453,3.5557,-4,0.8333,-8.4453,0.7031
proposed_efe,8,4,4,100.0,8.0,8.0,12,3.0,12,3.0,16,4.0,15.7998,3.95,-4,0.75,-3.7998,0.7595
random_candidate,0,2,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,1,113,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,2,29,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,3,13,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,4,21,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,5,4,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
random_candidate,6,22,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
